targetid,z,zwarn,spectype,deltachi2
1071051387699200,1.4222953970639964,4,GALAXY,1.9360854402184486
1071051387699205,1.2216883014950295,4,GALAXY,6.719292998313904
1071051446419462,1.3563222340647456,4,GALAXY,0.6012832671403885
1071055833661445,1.5247802948334948,4,GALAXY,1.9419915080070496
1071055837855749,0.2706927671382805,4,GALAXY,0.5686175227165222
1071055842050057,0.6329088234934714,4,GALAXY,2.8852857276797295
1071055888187396,0.20885153552125044,4,GALAXY,3.002110365778208
1071055900770305,1.5128494953565252,4,GALAXY,3.264332301914692
1071060283817991,1.4414856573726047,4,GALAXY,5.398379176855087
1071060283817999,0.11689799075165998,4,GALAXY,5.209346336079761
1071060292206594,1.4522503745626483,4,GALAXY,4.324104085564613
1071060321566722,1.3021909736613646,4,GALAXY,0.612118661403656
1071064637505540,0.055888487548751316,4,GALAXY,0.29798191832378507
1071064717197319,0.007450291781233841,4,GALAXY,2.297284808162658
1071073411989509,1.354756427109919,4,GALAXY,0.6885604560375214
1071073416183827,1.350781759683392,0,GALAXY,14.128251768648624
1071073479098374,1.3510825073633472,4,GALAXY,2.554299958050251
1071077912477712,1.2156020791826683,4,GALAXY,2.158708155155182
1071082123558912,1.5462206092916864,0,GALAXY,12.175725787878036
1071082131947531,1.147986747241129,4,GALAXY,3.444348454475403
1071082136141824,1.1331821948598209,4,GALAXY,5.641211107373238
1071082136141841,1.1732573164938835,4,GALAXY,0.8090338949114084
1071082186473477,1.5824836160914288,4,GALAXY,5.600005269050598
1071086514995206,0.7600914260748153,0,GALAXY,10.307189136743546
1071090898042885,1.5839734647271102,4,GALAXY,7.544117449549958
1071095058792448,1.3331366511358425,4,GALAXY,4.06580924987793
1071192052072453,0.6567359119668658,4,GALAXY,2.1543231308460236
1071195843723264,0.7813769585908675,4,GALAXY,2.3919006437063217
1071195856306181,1.4722465527886188,4,GALAXY,0.7656094133853912
1071203393470465,0.5388981740721702,4,GALAXY,5.53071903437376
1071207134789638,0.2366068984732493,4,GALAXY,0.28757981956005096
1071207134789642,0.11480234758188677,4,GALAXY,6.204136389307678
1071207134789649,0.1817478940608071,4,GALAXY,6.842496275901794
1071207147372548,1.0005216890362225,4,GALAXY,5.888584561645985
1071207155761153,0.42575781032366966,0,GALAXY,12.741958387196064
1071214575484932,0.14081164046401498,4,GALAXY,1.6083478908985853
1071221915516928,1.4390390060254994,4,GALAXY,0.6747265085577965
1071229142302720,1.389995992763349,4,GALAXY,3.035316154360771
1071232753598464,1.0781463786305043,4,GALAXY,5.101171240210533
1071232761987072,0.08524993900287772,4,GALAXY,5.515863903798163
1071232761987079,0.0653951279149473,4,GALAXY,2.8060779366642237
1071233022033926,0.047163329625821676,4,GALAXY,1.0906895167427137
1071233022033927,0.06313543385611164,4,GALAXY,1.0494429841637611
1071233026228231,0.26666477973870073,4,GALAXY,6.30794707685709
1071236327145473,1.2890591464412415,4,GALAXY,7.2480254098773
1071236327145474,5.2458613194416746,0,QSO,82.05386352539062
1071236335534095,0.6647433489223122,4,GALAXY,2.2154611125588417
1071236591386631,1.5433206730128877,4,GALAXY,2.532177772372961
1071243696537600,0.4467945145876418,4,GALAXY,0.6066077128052711
1071250667470854,0.7856116783620568,4,GALAXY,0.26635463535785675
1071330220834822,0.7777534214095615,4,GALAXY,4.717771597672254
1071330220834823,0.16504641317331295,4,GALAXY,0.89982188353315
1071330858369024,1.209645494988942,4,GALAXY,4.382311932742596
1071330858369029,1.0642150481187431,4,GALAXY,0.7717816680669785
1071330875146245,1.2311209730932833,4,GALAXY,2.100831910967827
1071333769216006,1.4780008453398086,4,GALAXY,1.0465533137321472
1071336017362950,1.4135241090665853,4,GALAXY,4.243933200836182
1071336034140165,1.3241030303607249,0,GALAXY,9.568857237696648
1071338886266880,1.3891641893945832,4,GALAXY,5.41226027905941
1071341713227781,1.4943303065486553,4,GALAXY,5.982098407519516
1071341725810699,0.7947707445643152,4,GALAXY,0.5842890068888664
1071342329790470,1.3949088369849927,4,GALAXY,0.0249084010720253
1071345135779849,1.5099596011327052,0,GALAXY,9.91041211783886
1071345144168454,1.2368347917136524,0,GALAXY,9.573862105607986
1071350101835780,1.1299707850544296,4,GALAXY,0.39649903774261475
1071352840716293,1.0824343078948178,0,GALAXY,17.035967350006104
1071352853299230,0.19993990332888875,4,GALAXY,0.8003177554346621
