==============================================================================
ROW 11(b): compaction scan extended to gamma_cr in [0.2, 1.0]
==============================================================================
wide-grid integrator vs committed integrator: max rel. diff 5.74e-16 (must be << 1e-6)

--- family L: lognormal(Delta, r_p k_p) ---
   Delta  rp*kp  C_th  gamma_cr      A(0)  A(-35/16)  A(-35/8)   ratio
       1.0      1e-03    1.0   0.6    0.3771    0.1209     0.0145    0.0078  1.8701
       1.0      1e-02   0.75   0.4    0.4463    0.0349     0.0093    0.0051  1.8037
       1.0      1e-02   0.75   0.5    0.4463    0.0645     0.0132    0.0072  1.8327
       1.0      1e-02   0.75   0.6    0.4463    0.1209     0.0189    0.0102  1.8577
       1.0      1e-02    1.0   0.4    0.4596    0.0349     0.0097    0.0054  1.8005
       1.0      1e-02    1.0   0.5    0.4596    0.0645     0.0139    0.0076  1.8300
       1.0      1e-02    1.0   0.6    0.4596    0.1209     0.0199    0.0107  1.8554
       1.0      3e-02   0.75   0.4    0.5046    0.0349     0.0114    0.0064  1.7896
       1.0      3e-02   0.75   0.5    0.5046    0.0645     0.0164    0.0090  1.8209
       1.0      3e-02   0.75   0.6    0.5046    0.1209     0.0236    0.0128  1.8478
       1.0      3e-02    1.0   0.4    0.5240    0.0349     0.0123    0.0069  1.7850
       1.0      3e-02    1.0   0.5    0.5240    0.0645     0.0177    0.0097  1.8171
       1.0      3e-02    1.0   0.6    0.5240    0.1209     0.0254    0.0138  1.8446
       1.0      1e-01   0.75   0.4    0.6036    0.0349     0.0166    0.0094  1.7661
       1.0      1e-01   0.75   0.5    0.6036    0.0645     0.0239    0.0133  1.8013
       1.0      1e-01   0.75   0.6    0.6036    0.1209     0.0345    0.0188  1.8315
       1.0      1e-01    1.0   0.4    0.6360    0.0349     0.0188    0.0107  1.7583
       1.0      1e-01    1.0   0.5    0.6360    0.0645     0.0273    0.0152  1.7948
       1.0      1e-01    1.0   0.6    0.6360    0.1209     0.0394    0.0216  1.8261
       1.0      3e-01   0.75   0.4    0.7535    0.0350     0.0324    0.0188  1.7274
       1.0      3e-01   0.75   0.5    0.7535    0.0646     0.0474    0.0268  1.7693
       1.0      3e-01   0.75   0.6    0.7535    0.1210     0.0690    0.0382  1.8050
       1.0      3e-01    1.0   0.4    0.8045    0.0351     0.0439    0.0257  1.7113
       1.0      3e-01    1.0   0.5    0.8045    0.0648     0.0645    0.0367  1.7562
       1.0      3e-01    1.0   0.6    0.8045    0.1214     0.0943    0.0525  1.7942

--- required-amplitude ratio A(-35/16)/A(-35/8) ---
  full extended scan                 n=255  gamma_cr [0.196, 0.968]  ratio 1.826 +- 0.054  [1.610, 1.908]
  INSIDE in-lab [0.267,0.630]        n=144  gamma_cr [0.268, 0.630]  ratio 1.837 +- 0.031  [1.759, 1.891]
  committed grid [0.766,0.968]       n= 42  gamma_cr [0.766, 0.968]  ratio 1.759 +- 0.064  [1.610, 1.906]
  below committed coverage           n=213  gamma_cr [0.196, 0.762]  ratio 1.839 +- 0.040  [1.713, 1.908]

[1283.5s] wrote /Users/houstongolden/Desktop/CODE_YOU/bigbounce/research/track_a3_multichannel/row11_pbh_residuals/results/row11_gammacr_extension.json
