tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
-236215448,161.809996,7.24357,10.205,B,3.986,1.8853,0.1892,17.368000030517578,15.894000053405762,12.520000457763672,8.656000137329102,1.474,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-14835449,156.531201,7.666924,10.181,B,3.7381,2.318,0.3558,17.280000686645508,15.888999938964844,11.82800006866455,7.734000205993652,1.391,AllWISE,,,,,,,22.906999588012695,22.566999435424805,21.32799911499023,21.01099967956543,20.722999572753903,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-112201219,336.156181,0.088602,10.173,B,3.485,0.1871,2.0228,18.267000198364254,17.155000686645508,,,1.112,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-223721110,323.148627,6.256287,10.158,B,4.0892,0.4074,1.2999,17.67799949645996,16.63800048828125,12.418999671936035,8.692000389099121,1.04,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-68717261,194.290614,35.8613,10.145,B,3.7036,2.1511,0.3026,18.511999130249023,17.259000778198242,,,1.253,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-224024348,323.77318,-0.920663,10.138,B,3.9616,0.3099,1.4385,18.520999908447266,17.224000930786133,,,1.297,CatWISE2020,,,,,,,22.86199951171875,23.88400077819824,23.07699966430664,21.79199981689453,21.06800079345703,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-32476278,39.693167,-5.579308,10.136,B,3.3,2.6687,0.2756,18.155000686645508,16.38599967956543,12.480999946594238,9.270000457763672,1.769,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-214885449,66.833196,-11.521774,10.128,B,4.0345,1.9337,0.4751,18.68600082397461,17.246999740600586,,,1.439,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-234065052,175.735226,-4.396089,10.124,B,3.7352,2.3048,0.2169,17.215999603271484,16.207000732421875,12.501999855041504,8.800999641418457,1.009,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-70836519,117.569153,26.75423,10.09,B,3.4865,2.4843,0.2451,17.607999801635742,16.472999572753906,12.260000228881836,8.604000091552734,1.135,AllWISE,,,,,,,23.79199981689453,23.47800064086914,22.992000579833984,22.80699920654297,22.22800064086914,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
