pix,n_cw,n,n_ccw,cw_fraction,sigma_from_half
26775,62,105,43,0.5904761904761905,1.8542101386022132
26776,42,75,33,0.56,1.0392304845413263
26777,45,85,40,0.5294117647058824,0.5423261445466404
26778,63,128,65,0.4921875,-0.17677669529663687
26779,58,128,70,0.453125,-1.0606601717798212
26780,32,59,27,0.5423728813559322,0.6509445549041194
26781,36,62,26,0.5806451612903226,1.270001270001905
26791,49,87,38,0.5632183908045977,1.1793237883215741
26792,38,81,43,0.4691358024691358,-0.5555555555555556
26793,25,57,32,0.43859649122807015,-0.9271726499455306
26794,50,104,54,0.4807692307692308,-0.3922322702763681
26795,28,61,33,0.45901639344262296,-0.6401843996644799
26796,25,60,35,0.4166666666666667,-1.2909944487358056
26797,50,93,43,0.5376344086021505,0.7258661863112977
26798,35,80,45,0.4375,-1.118033988749895
26799,42,78,36,0.5384615384615384,0.6793662204867574
26800,58,122,64,0.47540983606557374,-0.5432144762551112
26801,31,66,35,0.4696969696969697,-0.4923659639173309
26803,44,90,46,0.4888888888888889,-0.21081851067789195
26805,19,53,34,0.3584905660377358,-2.0604084592303353
26843,35,58,23,0.603448275862069,1.5756771943166705
26844,52,108,56,0.48148148148148145,-0.3849001794597505
26845,51,110,59,0.4636363636363636,-0.7627700713964739
26846,66,137,71,0.48175182481751827,-0.42717882885838043
26847,53,132,79,0.4015151515151515,-2.263009527424072
26848,66,120,54,0.55,1.0954451150103321
26849,51,102,51,0.5,0.0
26850,30,70,40,0.42857142857142855,-1.1952286093343936
26851,25,61,36,0.4098360655737705,-1.4084056792618558
26852,26,51,25,0.5098039215686274,0.14002800840280097
26853,37,82,45,0.45121951219512196,-0.8834522085987723
26854,57,132,75,0.4318181818181818,-1.5666989036012806
26855,75,134,59,0.5597014925373134,1.3821894809301762
26856,58,102,44,0.5686274509803921,1.3862065601673441
26857,59,109,50,0.5412844036697247,0.8620436566990363
26858,54,106,52,0.5094339622641509,0.19425717247145283
26859,47,110,63,0.42727272727272725,-1.5255401427929478
26860,81,149,68,0.5436241610738255,1.0650014966747527
26861,46,97,51,0.4742268041237113,-0.5076730825668095
26862,67,115,48,0.5826086956521739,1.7717591356565963
26863,48,101,53,0.4752475247524752,-0.4975185951049946
26864,44,95,51,0.4631578947368421,-0.7181848464596079
26865,35,68,33,0.5147058823529411,0.24253562503633297
26866,44,69,25,0.6376811594202898,2.287331208629615
26867,31,68,37,0.45588235294117646,-0.7276068751089989
26868,49,108,59,0.4537037037037037,-0.9622504486493763
26869,32,73,41,0.4383561643835616,-1.0533703247651751
26870,50,91,41,0.5494505494505495,0.9434563530497265
26871,57,104,47,0.5480769230769231,0.9805806756909202
26872,54,97,43,0.5567010309278351,1.116880781646981
26873,73,135,62,0.5407407407407407,0.9467292624062575
26874,83,151,68,0.5496688741721855,1.2206826881567392
26875,50,115,65,0.43478260869565216,-1.3987572123604708
26876,39,82,43,0.47560975609756095,-0.44172610429938614
26877,48,105,57,0.45714285714285713,-0.8783100656536799
26878,72,121,49,0.5950413223140496,2.090909090909091
26879,44,83,39,0.5301204819277109,0.5488212999484517
26880,35,78,43,0.44871794871794873,-0.9058216273156765
26881,35,64,29,0.546875,0.75
26886,74,137,63,0.5401459854014599,0.939793423488437
26887,80,153,73,0.5228758169934641,0.5659164584181103
26888,68,141,73,0.48226950354609927,-0.42107596053325946
26889,49,111,62,0.44144144144144143,-1.2339053944782488
26890,60,137,77,0.43795620437956206,-1.4524080181184935
26891,80,155,75,0.5161290322580645,0.4016096644512494
26892,78,139,61,0.5611510791366906,1.4419211804559506
