# Galaxy Zoo DECaLS Spiral Galaxy Catalog
# Source: Walmsley et al. (2022), MNRAS 509:3966
# DOI: 10.5281/zenodo.4573248
# License: CC-BY-4.0
# Generated by: research/data_build/build_galaxy_spin_dataset.py
# Total spirals: 18979
#
# LIMITATION: This catalog identifies spiral galaxies but does NOT
# include CW/CCW winding direction. Galaxy Zoo DECaLS classifies
# winding TIGHTNESS (tight/medium/loose), not CHIRALITY.
# For CW/CCW counts, see galaxy_spin_counts.csv (Shamir 2024).
#
galaxy_id,ra,dec,redshift,spiral_vote_fraction,winding_tight,winding_medium,winding_loose,survey_source
J094203.29+002011.1,145.51374008195546,0.33643704982730327,0.006378901,0.9615384615384616,0.68,0.24,0.08,Galaxy_Zoo_DECaLS
J154159.55+004246.0,235.49785727049226,0.7127370713522211,0.006394573,1.0,0.0,1.0,0.0,Galaxy_Zoo_DECaLS
J120047.69-000124.0,180.19872093566647,-0.023335330708786163,0.006467818,0.7727272727272727,0.0588235294117647,0.5882352941176471,0.3529411764705882,Galaxy_Zoo_DECaLS
J154323.91+142608.3,235.84992202665242,14.435154305530133,0.006495885,0.6666666666666666,0.75,0.25,0.0,Galaxy_Zoo_DECaLS
J222914.79+010555.8,337.3116386691322,1.0988672942551398,0.006522279,1.0,0.0,0.0,1.0,Galaxy_Zoo_DECaLS
J153830.09+121108.9,234.6247882542076,12.18659309394141,0.0065278593,0.9655172413793104,0.8571428571428571,0.1428571428571428,0.0,Galaxy_Zoo_DECaLS
J120242.23+015836.4,180.67602012357264,1.9768022716092681,0.0065416675,0.9629629629629628,0.2692307692307692,0.5384615384615384,0.1923076923076923,Galaxy_Zoo_DECaLS
J135545.39-060010.0,208.9391078634021,-6.003033062505866,0.0066212574,0.6956521739130435,0.0,0.0625,0.9375,Galaxy_Zoo_DECaLS
J093507.40+050707.9,143.78119861165112,5.120130450675953,0.0066854954,0.7777777777777778,0.2857142857142857,0.7142857142857143,0.0,Galaxy_Zoo_DECaLS
J153919.70+152301.9,234.8331691956135,15.384378676307108,0.0066896463,0.967741935483871,0.5666666666666667,0.4333333333333333,0.0,Galaxy_Zoo_DECaLS
J083226.88+293841.6,128.11197452832423,29.64494154663074,0.0068672607,0.7692307692307693,0.5,0.35,0.15,Galaxy_Zoo_DECaLS
J083226.76+293825.6,128.11290897550805,29.64588473228636,0.006877705,0.8157894736842105,0.3548387096774194,0.3225806451612903,0.3225806451612903,Galaxy_Zoo_DECaLS
J082544.49+275228.4,126.43542501811336,27.874538763412566,0.006920528,0.8928571428571429,0.88,0.12,0.0,Galaxy_Zoo_DECaLS
J234519.19-011623.9,356.33061045799025,-1.2730458723202678,0.0069314726,0.8181818181818182,0.5,0.2777777777777778,0.2222222222222222,Galaxy_Zoo_DECaLS
